,Country/Region,variable,value
880,Australia,4/19/20,6610
881,Canada,4/19/20,39317
882,China,4/19/20,86321
883,Germany,4/19/20,139897
884,"Korea, South",4/19/20,10661
885,Malaysia,4/19/20,5389
886,Russia,4/19/20,42853
887,Singapore,4/19/20,6588
888,US,4/19/20,763919
889,United Kingdom,4/19/20,126375
890,Australia,4/20/20,6623
891,Canada,4/20/20,41029
892,China,4/20/20,86382
893,Germany,4/20/20,141672
894,"Korea, South",4/20/20,10674
895,Malaysia,4/20/20,5425
896,Russia,4/20/20,47121
897,Singapore,4/20/20,8014
898,US,4/20/20,794003
899,United Kingdom,4/20/20,131252
900,Australia,4/21/20,6645
901,Canada,4/21/20,42619
902,China,4/21/20,86452
903,Germany,4/21/20,143457
904,"Korea, South",4/21/20,10683
905,Malaysia,4/21/20,5482
906,Russia,4/21/20,52763
907,Singapore,4/21/20,9125
908,US,4/21/20,820078
909,United Kingdom,4/21/20,136023
910,Australia,4/22/20,6652
911,Canada,4/22/20,44465
912,China,4/22/20,86508
913,Germany,4/22/20,145694
914,"Korea, South",4/22/20,10694
915,Malaysia,4/22/20,5532
916,Russia,4/22/20,57999
917,Singapore,4/22/20,10141
918,US,4/22/20,849959
919,United Kingdom,4/22/20,141529
920,Australia,4/23/20,6662
921,Canada,4/23/20,46274
922,China,4/23/20,86548
923,Germany,4/23/20,148046
924,"Korea, South",4/23/20,10708
925,Malaysia,4/23/20,5603
926,Russia,4/23/20,62773
